entity,sentiment,text,true_label,predicted_label
Microsoft,Positive,writingcommunity i just want to take a second to give a so to the microphone in microsoft word. i said etymologically unrelated and it actually got it right. wow we have come a long way baby! microsoft microsoftword,Positive,Neutral
Xbox(Xseries),Irrelevant,it s now been over 18 years since i was a beta tester on xbox live. it s been amazing to watch online gaming grow in that time along with the innovation live has brought to the industry. great memories and looking forward to many more next-gen. xbox xboxseriesx xboxshare pic.twitter.com m8qo42y2pf,Irrelevant,Positive
Fortnite,Positive,happy birthday fortnite,Positive,Irrelevant
ApexLegends,Negative,umm wth.. apexlegends pic.twitter.com exchrvg16o,Negative,Positive
FIFA,Neutral,so maria was playing fifa today.,Neutral,Negative
Microsoft,Neutral,azure microsoft unlocks the full potential of the smart building ecosystem azure.microsoft.com blog microsoft,Neutral,Negative
CS-GO,Neutral,aiight,Neutral,Irrelevant
Xbox(Xseries),Irrelevant,xsxfridgesweeps amazing,Irrelevant,Positive
RedDeadRedemption(RDR),Neutral,red dead redemption 2 user rdr2 reddeadonline outlawsforlife ps4share pic.twitter.com qhk7znrwm8,Neutral,Negative
Microsoft,Negative,my dick is microsoft,Negative,Positive
Verizon,Positive,user you guys are really slow in tuba city. az. makes people go to verizon.,Positive,Negative
FIFA,Negative,no fucking thank you,Negative,Irrelevant
RedDeadRedemption(RDR),Negative,red dead redemption 2 [day 8] can i shoot micah? i don't like micah. twitch.tv nightmarebearer,Negative,Neutral
ApexLegends,Neutral,we need a uhird for ranked right now! xbox apexlegends ranked xboxone dm me,Neutral,Positive
LeagueOfLegends,Neutral,check out my video! leagueoflegends captured by outplayed 2020alienwaregames pic.twitter.com szd2mkyyty,Neutral,Positive
AssassinsCreed,Negative,"shit, time for a recast",Negative,Irrelevant
LeagueOfLegends,Neutral,check out my video! leagueoflegends captured by outplayed 2020alienwaregames pic.twitter.com riqq50yzf,Neutral,Positive
FIFA,Neutral,"man fifa 19 was my game despite how shit it was, shame i can t play fifa 20 so i can wanna rip my brains out again",Neutral,Negative
Overwatch,Neutral,i'm wheezing,Neutral,Irrelevant
Overwatch,Neutral,our chinese overwatch fans will be sad to learn that the matches in china during february and march and being rescheduled. pic.twitter.com hvatcpieov,Neutral,Negative
Hearthstone,Positive,user seriously wtf were you thinking this is the worst thing you could possibly do to your player base after these last 2 years. lost all confidence in you guys as a design team. back to hearthstone. fucking sad.,Positive,Irrelevant
TomClancysGhostRecon,Negative,"welp, ghostreconbreakpoint 's immersive update got delayed until later next month.. pic.twitter.com rqk5e2fe10",Negative,Positive
Fortnite,Negative,"fortnite is bullying me, aren t they? i. need. him! pic.twitter.com 3q3yxuxkfy",Negative,Irrelevant
CallOfDuty,Positive,really!! user user callofduty warzone modernwarfare store.playstation.com ! en-gb tid c url,Positive,Irrelevant
Cyberpunk2077,Negative,this is so upsetting,Negative,Irrelevant
GrandTheftAuto(GTA),Positive,i wanna do this shit,Positive,Negative
Overwatch,Positive,don t tweet much but here s what i ve been up to on the island. not playing much overwatch anymore but great fun watching and building the comp lounge. 4v4 though.. acnh owl animalcrossing url,Positive,Neutral
Overwatch,Neutral,facts king talk that shit so much they dont notice,Neutral,Irrelevant
CallOfDutyBlackopsColdWar,Positive,fucking finallyy,Positive,Irrelevant
